,Hum,Holocene,No. 22,Springful,Rusty Nails,Grandes Ligas,Only for You,Mexicali,You Are The Ocean,3WW,Under The Pressure,Ya Hey,Twirl Me,Golden Arrow,Smoke and Mirrors,The Yabba,Die Young,You,A New Error,Frontier Psychiatrist,Says,Monkberry Moon Delight - Remastered 2012,It's Only,Let Your Light Shine On Me (with Rose Stone & The Abbot Kinney Lighthouse Choir),Girl And The Sea,SZ2,Conversations Between,Farewell Transmission,Chasing Shadows,A1
1,,10991285,,,,,540953,,349026,5915865,,,4459034,,,1227360,,2039876,,,,324133,,2549596,858639,2471971,4581588,,976665,
2,,2548453,,312400,,,924894,949391,,1951946,,,860775,,,409120,,574393,,,498000,186177,441533,403133,,,605822,,390666,
3,,1346452,,312400,,,308066,373080,471964,1202465,,,677071,,,618513,,331894,,,525599,,65145,,660903,1183400,910806,,,445502
4,,758477,,,,,308066,373080,,300106,,,674066,,,409120,,905085,,,1576861,838738,5565,330214,286213,10441,,,585999,
5,,2690571,,,,,308066,3271682,377691,1800636,1064612,,350326,,436171,818240,,903025,,,2557859,1240883,2207665,1209399,286213,559133,605822,,790970,
6,,448365,,624800,,,616132,843971,698052,300106,532306,,,1170076,,640704,,330642,,,,648266,3075,,286213,1422233,605822,56546,188570,737564
7,,1103957,,624800,,,924198,1007301,1260295,300106,,,1011099,1197761,,,,903025,,,,324133,713491,806266,286213,559133,,884212,529988,
8,,1885,,,272200,,308066,464942,,300106,1330284,,674066,,,,210613,21984,1730154,1477841,,,84601,405485,572426,559133,,2867138,212091,719090
9,,470041,3384677,,3194632,,514785,373080,698052,600212,1599327,,507714,,436171,,,573639,3267971,4191639,852290,,883066,,286213,,,1219549,390666,717272
10,,1346452,12532648,,4960333,,308066,2223612,502852,307942,379243,,,1360610,313185,409120,787980,330979,1913034,2308546,502205,834114,2207665,1198060,858639,,,1768424,976665,1438192
11,,2623,3619865,2543063,1039153,,265366,,,401068,532306,,337033,680305,749356,409120,2015271,329386,157419,290273,996000,,,785269,582947,668619,,2612,390666,33457
12,,,2588903,312400,724275,,1659,2217,354469,301959,532306,,674066,680305,,409120,1412903,246624,788657,,498000,327895,884485,,474279,559133,304923,442106,608367,358636
13,,2592563,2147971,,1164785,,308066,3354901,869520,1502085,,,889935,,,,2446192,244253,1101918,737152,890143,1954492,2207030,808290,858639,,302911,1768424,815740,1434544
